NAME_3,centroid_lat,centroid_lon,slope_mean,flow_accum_max,twi_mean,curvature_std,mua_1h,mua_24h,mua_72h,mua_dubao_24h_toi,risk_satlo,risk_luquet,muc_canhbao_satlo,muc_canhbao_luquet
Hẹ Muông,21.198330614717626,103.0195143494965,23.712483576000018,675634.0,9.229379086794436,0.014812325425623734,0.3,16.5,55.6,4.0,0.424397774820374,0.31362140894583135,3,2
Hua Thanh,21.466394873769016,102.95708800802696,20.550115497580695,64765.0,9.274521041495973,0.04852781057416428,1.6,9.3,68.3,11.6,0.5202680623082383,0.1115382169099654,3,1
Mường Lói,20.968040063552078,103.23457778751792,26.004704098449828,242903.0,9.03556261890094,0.02861210906240193,0.0,19.0,52.4,1.8,0.4745079156280353,0.23813039761523325,3,2
Mường Nhà,21.14910067475235,103.10327803459847,19.216815307497683,271987.0,9.485944067818652,0.011670886930301107,0.1,12.7,56.7,4.2,0.36195479856587887,0.21333288988354074,2,2
Mường Phăng,21.450178851962242,103.15687541653823,15.400386593812538,34222.0,9.770173442383847,0.0100379192648288,0.3,12.4,59.5,6.7,0.3196164904505289,0.1899856198052011,2,1
Mường Pồn,21.540646549185364,103.00242197676857,23.526012795846043,81116.0,9.222065074264064,0.025807245495264957,1.6,6.8,74.8,16.0,0.5325817877080615,0.08026274021737115,3,1
Nà Nhạn,21.499776859267794,103.07815964497867,18.27862208499737,194502.0,9.514424627184969,0.010792674725071217,1.2,9.9,72.0,9.6,0.41415783158577163,0.16767816816116832,3,1
Nà Tấu,21.547457161342024,103.11738183570982,20.381080713891752,32540.0,9.41543071687865,0.012433145163343932,0.2,8.4,54.1,5.8,0.3678958611215072,0.1081684250865324,2,1
Na Tông,21.087104359844684,103.05447112245821,23.42540918801361,177659.0,9.15983410816763,0.04164188086785153,0.0,22.4,61.3,8.5,0.5109981044244909,0.2772285157472587,3,2
Na Ư,21.203827072015113,102.94292821817471,24.220949224798684,100959.0,9.07893103816359,0.03957419369692782,0.5,17.7,58.6,6.3,0.504705189846513,0.1987525569831413,3,1
Noọng Hẹt,21.311524618844437,103.03554869318968,9.956930466688254,526659.0,10.70418419648209,0.008123389272261946,0.2,9.7,53.3,8.7,0.21574863117787804,0.34670782769826874,2,2
Noong Luống,21.300576253386733,102.97760519882074,15.248326587714251,1356409.0,10.132249591402697,0.009970947737588552,0.5,10.8,56.3,14.4,0.3034709660674032,0.4694896672527962,2,3
Núa Ngam,21.254458091048793,103.08123143926846,17.20434936291154,663500.0,9.749674182543243,0.009994940524339685,0.0,8.6,51.4,4.3,0.3080617023912848,0.2685403390463681,2,2
Pá Khoang,21.43110984057584,103.10417877201145,12.989372128296273,97530.0,10.018817647937176,0.01001499784065149,0.3,13.0,61.1,9.5,0.29459581102677457,0.23374457241745666,2,2
